date,open,high,low,close,volume
2017-01-23T21:30:00.000Z,919.97,919.3,918.5,919.3,6000
2017-01-23T21:35:00.000Z,919.3,919.3,919.3,919.3,0
2017-01-23T21:40:00.000Z,919.3,921.0,919.48,919.84,143078
2017-01-23T21:45:00.000Z,919.84,919.99,919.32,919.75,64628
2017-01-23T21:50:00.000Z,919.75,920.75,919.79,920.17,46496
2017-01-23T21:55:00.000Z,920.17,920.86,920.0,920.49,22316
2017-01-23T22:00:00.000Z,920.49,921.35,920.7,920.7,13620
2017-01-23T22:05:00.000Z,920.7,920.82,920.82,920.82,4600
2017-01-23T22:10:00.000Z,920.82,920.57,920.56,920.56,9000
2017-01-23T22:15:00.000Z,920.56,920.76,920.5,920.76,100980
2017-01-23T22:20:00.000Z,920.76,921.4,920.79,921.4,51000
2017-01-23T22:25:00.000Z,921.4,922.47,921.34,922.04,84692
2017-01-23T22:30:00.000Z,922.04,921.94,921.1,921.85,18400
2017-01-23T22:35:00.000Z,921.85,921.9,920.84,920.84,1750
2017-01-23T22:40:00.000Z,920.84,921.07,921.07,921.07,4000
2017-01-23T22:45:00.000Z,921.07,921.11,921.06,921.06,18850
2017-01-23T22:50:00.000Z,921.06,921.27,921.23,921.24,11500
2017-01-23T22:55:00.000Z,921.24,921.24,921.24,921.24,0
2017-01-23T23:00:00.000Z,921.24,921.31,921.03,921.03,3334
2017-01-23T23:05:00.000Z,921.03,921.98,921.03,921.98,31000
2017-01-23T23:10:00.000Z,921.98,921.5,921.5,921.5,1000
2017-01-23T23:15:00.000Z,921.5,924.03,921.63,924.03,95597
2017-01-23T23:20:00.000Z,924.03,925.0,923.86,924.07,133030
2017-01-23T23:25:00.000Z,924.07,924.4,920.93,920.93,155431
2017-01-23T23:30:00.000Z,920.93,920.94,918.6,919.1,276283
2017-01-23T23:35:00.000Z,919.1,919.36,918.42,918.59,42225
2017-01-23T23:40:00.000Z,918.59,918.97,918.64,918.97,5228
2017-01-23T23:45:00.000Z,918.97,919.47,919.38,919.38,12094
2017-01-23T23:50:00.000Z,919.38,919.38,919.35,919.38,16605
2017-01-23T23:55:00.000Z,919.38,919.38,910.22,910.22,289200
2017-01-24T00:00:00.000Z,910.22,910.22,892.22,896.81,983951
2017-01-24T00:05:00.000Z,896.81,899.0,889.71,893.79,285414
2017-01-24T00:10:00.000Z,893.79,896.32,887.3,889.67,296101
2017-01-24T00:15:00.000Z,889.67,891.11,879.09,882.43,554658
2017-01-24T00:20:00.000Z,882.43,892.97,883.01,891.84,318334
2017-01-24T00:25:00.000Z,891.84,891.83,887.81,891.83,89441
2017-01-24T00:30:00.000Z,891.83,894.2,890.29,891.93,150964
2017-01-24T00:35:00.000Z,891.93,894.2,892.05,893.59,68674
2017-01-24T00:40:00.000Z,893.59,894.94,891.95,894.03,86862
2017-01-24T00:45:00.000Z,894.03,894.07,890.43,890.54,162707
2017-01-24T00:50:00.000Z,890.54,897.98,891.32,896.64,241753
2017-01-24T00:55:00.000Z,896.64,898.64,894.24,898.64,87159
2017-01-24T01:00:00.000Z,898.64,898.68,895.25,896.79,23285
2017-01-24T01:05:00.000Z,896.79,898.0,895.44,898.0,92317
2017-01-24T01:10:00.000Z,898.0,900.0,898.61,899.99,71415
2017-01-24T01:15:00.000Z,899.99,900.99,898.44,900.99,54646
2017-01-24T01:20:00.000Z,900.99,900.7,894.13,897.38,216449
2017-01-24T01:25:00.000Z,897.38,897.93,891.31,891.68,176913
2017-01-24T01:30:00.000Z,891.68,902.34,891.78,899.06,139356
2017-01-24T01:35:00.000Z,899.06,900.0,896.5,896.5,106414
2017-01-24T01:40:00.000Z,896.5,896.71,895.27,895.27,19676
2017-01-24T01:45:00.000Z,895.27,895.04,893.21,894.28,43065
2017-01-24T01:50:00.000Z,894.28,894.68,889.7,891.25,94703
2017-01-24T01:55:00.000Z,891.25,892.66,889.52,892.66,131600
2017-01-24T02:00:00.000Z,892.66,895.02,893.04,894.2,84928
2017-01-24T02:05:00.000Z,894.2,894.78,892.79,892.79,137794
2017-01-24T02:10:00.000Z,892.79,893.48,892.28,893.48,55761
2017-01-24T02:15:00.000Z,893.48,893.67,891.78,891.92,174107
2017-01-24T02:20:00.000Z,891.92,891.81,890.6,891.08,109738
2017-01-24T02:25:00.000Z,891.08,892.2,890.4,892.2,92478
2017-01-24T02:30:00.000Z,892.2,896.2,892.07,896.2,200328
2017-01-24T02:35:00.000Z,896.2,895.89,894.66,895.5,28670
2017-01-24T02:40:00.000Z,895.5,895.49,894.53,894.71,103902
2017-01-24T02:45:00.000Z,894.71,897.37,894.71,897.37,12260
2017-01-24T02:50:00.000Z,897.37,898.58,897.02,898.58,13256
2017-01-24T02:55:00.000Z,898.58,899.88,898.57,899.79,47524
2017-01-24T03:00:00.000Z,899.79,899.79,898.07,898.07,14901
2017-01-24T03:05:00.000Z,898.07,902.12,899.72,902.12,59265
2017-01-24T03:10:00.000Z,902.12,902.01,900.2,900.2,23088
2017-01-24T03:15:00.000Z,900.2,902.05,901.25,902.05,4511
2017-01-24T03:20:00.000Z,902.05,903.02,901.14,903.02,2900
2017-01-24T03:25:00.000Z,903.02,903.3,902.53,903.3,5260
2017-01-24T03:30:00.000Z,903.3,903.06,902.6,903.06,1013
2017-01-24T03:35:00.000Z,903.06,905.37,902.63,905.26,137946
2017-01-24T03:40:00.000Z,905.26,905.63,903.63,905.63,66086
2017-01-24T03:45:00.000Z,905.63,905.74,904.3,904.48,46000
2017-01-24T03:50:00.000Z,904.48,904.02,904.01,904.01,4539
2017-01-24T03:55:00.000Z,904.01,903.01,903.0,903.0,1041
2017-01-24T04:00:00.000Z,903.0,927.54,902.93,920.0,1313985
2017-01-24T04:05:00.000Z,920.0,920.03,917.0,917.0,113844
2017-01-24T04:10:00.000Z,917.0,920.26,911.81,914.12,285861
2017-01-24T04:15:00.000Z,914.12,914.41,912.22,912.85,60420
2017-01-24T04:20:00.000Z,912.85,912.55,906.45,906.51,66465
2017-01-24T04:25:00.000Z,906.51,910.51,907.6,909.06,80167
2017-01-24T04:30:00.000Z,909.06,910.06,907.2,907.85,15679
2017-01-24T04:35:00.000Z,907.85,908.22,905.6,906.01,40533
2017-01-24T04:40:00.000Z,906.01,910.81,906.97,910.81,49706
2017-01-24T04:45:00.000Z,910.81,910.86,910.16,910.16,26174
2017-01-24T04:50:00.000Z,910.16,913.5,910.19,913.0,62115
2017-01-24T04:55:00.000Z,913.0,913.31,912.31,912.88,40060
2017-01-24T05:00:00.000Z,912.88,912.32,912.0,912.0,24770
2017-01-24T05:05:00.000Z,912.0,912.15,912.1,912.1,1500
2017-01-24T05:10:00.000Z,912.1,912.17,912.02,912.02,7000
2017-01-24T05:15:00.000Z,912.02,912.22,912.02,912.02,25033
2017-01-24T05:20:00.000Z,912.02,912.01,911.39,911.39,66200
2017-01-24T05:25:00.000Z,911.39,911.39,911.39,911.39,0
2017-01-24T05:30:00.000Z,911.39,913.5,912.5,913.5,39992
